id,speaker,speech,text_disambiguate,disambiguation_timepywsd_output,tokens_text,tokens_emotions,scene,primary_emotion,secondary_emotion,disambiguation_time,pywsd_output
668,KARL,", roughly No , thank you .",", roughly no , thank you .",,"[',', 'roughly', 'no', ',', 'thank', 'you', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'acceptance', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,loathing,0.004,"[(',', ',', None), ('roughly', 'roughly', None), ('No', 'no', None), (',', ',', None), ('thank', 'thank', None), ('you', 'you', None), ('.', '.', None)]"
670,KARL,", comes back C ., as if in a mood to quarrel Do you want to know why ?",", come back c . , a if in a mood to quarrel do you want to know why ?",,"[',', 'come', 'back', 'c', '.', ',', 'a', 'if', 'in', 'a', 'mood', 'to', 'quarrel', 'do', 'you', 'want', 'to', 'know', 'why', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'bliss', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'anger', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,enthusiasm,0.47,"[(',', ',', None), ('comes', 'come', Synset('issue_forth.v.01')), ('back', 'back', None), ('C', 'c', None), ('.', '.', None), (',', ',', None), ('as', 'a', None), ('if', 'if', None), ('in', 'in', None), ('a', 'a', None), ('mood', 'mood', None), ('to', 'to', None), ('quarrel', 'quarrel', Synset('quarrel.v.01')), ('Do', 'do', None), ('you', 'you', None), ('want', 'want', Synset('desire.v.01')), ('to', 'to', None), ('know', 'know', Synset('know.v.07')), ('why', 'why', None), ('?', '?', None)]"
672,KARL,", nervous Well , I 'll tell you —",", nervous well , i 'll tell you —",,"[',', 'nervous', 'well', ',', 'i', ""'ll"", 'tell', 'you', '—']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,loathing,0.04,"[(',', ',', None), ('nervous', 'nervous', None), ('Well', 'well', None), (',', ',', None), ('I', 'i', None), (""'ll"", ""'ll"", None), ('tell', 'tell', Synset('state.v.01')), ('you', 'you', None), ('—', '—', None)]"
674,KARL,"But I will tell you . I 'm astonished at the change that has come over you since this afternoon . I admit it upsets me , but do n't imagine it is on Olga 's account — if you do n't mind , we 'll leave her out of the discussion .","but i will tell you . i 'm astonish at the change that have come over you since this afternoon . i admit it upset me , but do n't imagine it be on olga 's account — if you do n't mind , we 'll leave her out of the discussion .",,"['but', 'i', 'will', 'tell', 'you', '.', 'i', ""'m"", 'astonish', 'at', 'the', 'change', 'that', 'have', 'come', 'over', 'you', 'since', 'this', 'afternoon', '.', 'i', 'admit', 'it', 'upset', 'me', ',', 'but', 'do', ""n't"", 'imagine', 'it', 'be', 'on', 'olga', ""'s"", 'account', '—', 'if', 'you', 'do', ""n't"", 'mind', ',', 'we', ""'ll"", 'leave', 'her', 'out', 'of', 'the', 'discussion', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'annoyance', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'eagerness', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'annoyance', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,ecstasy,,1.618,"[('But', 'but', None), ('I', 'i', None), ('will', 'will', None), ('tell', 'tell', Synset('state.v.01')), ('you', 'you', None), ('.', '.', None), ('I', 'i', None), (""'m"", ""'m"", None), ('astonished', 'astonish', Synset('amaze.v.01')), ('at', 'at', None), ('the', 'the', None), ('change', 'change', None), ('that', 'that', None), ('has', 'have', None), ('come', 'come', Synset('issue_forth.v.01')), ('over', 'over', None), ('you', 'you', None), ('since', 'since', None), ('this', 'this', None), ('afternoon', 'afternoon', None), ('.', '.', None), ('I', 'i', None), ('admit', 'admit', Synset('admit.v.06')), ('it', 'it', None), ('upsets', 'upset', Synset('upset.v.06')), ('me', 'me', None), (',', ',', None), ('but', 'but', None), ('do', 'do', None), (""n't"", ""n't"", None), ('imagine', 'imagine', Synset('imagine.v.01')), ('it', 'it', None), ('is', 'be', None), ('on', 'on', None), ('Olga', 'olga', None), (""'s"", ""'s"", None), ('account', 'account', None), ('—', '—', None), ('if', 'if', None), ('you', 'you', None), ('do', 'do', None), (""n't"", ""n't"", None), ('mind', 'mind', Synset('mind.v.06')), (',', ',', None), ('we', 'we', None), (""'ll"", ""'ll"", None), ('leave', 'leave', Synset('leave.v.12')), ('her', 'her', None), ('out', 'out', None), ('of', 'of', None), ('the', 'the', None), ('discussion', 'discussion', None), ('.', '.', None)]"
676,KARL,I 've made up my mind to propose to Elsa .,i 've make up my mind to propose to elsa .,,"['i', ""'ve"", 'make', 'up', 'my', 'mind', 'to', 'propose', 'to', 'elsa', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}]",2,ecstasy,,0.387,"[('I', 'i', None), (""'ve"", ""'ve"", None), ('made', 'make', Synset('reach.v.01')), ('up', 'up', None), ('my', 'my', None), ('mind', 'mind', None), ('to', 'to', None), ('propose', 'propose', Synset('aim.v.02')), ('to', 'to', None), ('Elsa', 'elsa', None), ('.', '.', None)]"
678,KARL,You are glad ?,you be glad ?,,"['you', 'be', 'glad', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'calmness'}, {'primary_emotion': None, 'secondary_emotion': None}]",2,ecstasy,calmness,0.002,"[('You', 'you', None), ('are', 'be', None), ('glad', 'glad', None), ('?', '?', None)]"
681,KARL,", approaching the DEVIL threateningly Look here , that was Olga who ran away just now .",", approach the devil threateningly look here , that be olga who run away just now .",,"[',', 'approach', 'the', 'devil', 'threateningly', 'look', 'here', ',', 'that', 'be', 'olga', 'who', 'run', 'away', 'just', 'now', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'terror', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'rage', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,loathing,0.604,"[(',', ',', None), ('approaching', 'approach', Synset('set_about.v.01')), ('the', 'the', None), ('DEVIL', 'devil', None), ('threateningly', 'threateningly', None), ('Look', 'look', None), ('here', 'here', None), (',', ',', None), ('that', 'that', None), ('was', 'be', None), ('Olga', 'olga', None), ('who', 'who', None), ('ran', 'run', Synset('play.v.18')), ('away', 'away', None), ('just', 'just', None), ('now', 'now', None), ('.', '.', None)]"
683,KARL,You behave like a school boy .,you behave like a school boy .,,"['you', 'behave', 'like', 'a', 'school', 'boy', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,ecstasy,delight,0.02,"[('You', 'you', None), ('behave', 'behave', Synset('act.v.02')), ('like', 'like', None), ('a', 'a', None), ('school', 'school', None), ('boy', 'boy', None), ('.', '.', None)]"
685,KARL,"I mean , my dear Doctor — that you are not a gentleman .","i mean , my dear doctor — that you be not a gentleman .",,"['i', 'mean', ',', 'my', 'dear', 'doctor', '—', 'that', 'you', 'be', 'not', 'a', 'gentleman', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'contentment', 'secondary_emotion': 'serenity'}, {'primary_emotion': None, 'secondary_emotion': None}]",2,contentment,serenity,0.052,"[('I', 'i', None), ('mean', 'mean', Synset('mean.v.05')), (',', ',', None), ('my', 'my', None), ('dear', 'dear', None), ('Doctor', 'doctor', None), ('—', '—', None), ('that', 'that', None), ('you', 'you', None), ('are', 'be', None), ('not', 'not', None), ('a', 'a', None), ('gentleman', 'gentleman', None), ('.', '.', None)]"
687,KARL,When a gentleman would be discreet — he even conceals his discretion .,when a gentleman would be discreet — he even conceal hi discretion .,,"['when', 'a', 'gentleman', 'would', 'be', 'discreet', '—', 'he', 'even', 'conceal', 'hi', 'discretion', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'contentment', 'secondary_emotion': 'serenity'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'eagerness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'bliss', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'delight'}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,,0.231,"[('When', 'when', None), ('a', 'a', None), ('gentleman', 'gentleman', None), ('would', 'would', None), ('be', 'be', None), ('discreet', 'discreet', None), ('—', '—', None), ('he', 'he', None), ('even', 'even', None), ('conceals', 'conceal', Synset('hide.v.01')), ('his', 'hi', None), ('discretion', 'discretion', None), ('.', '.', None)]"
689,KARL,", C . It is .",", c . it be .",,"[',', 'c', '.', 'it', 'be', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,,0.005,"[(',', ',', None), ('C', 'c', None), ('.', '.', None), ('It', 'it', None), ('is', 'be', None), ('.', '.', None)]"
691,KARL,I shall not .,i shall not .,,"['i', 'shall', 'not', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,,0.001,"[('I', 'i', None), ('shall', 'shall', None), ('not', 'not', None), ('.', '.', None)]"
693,KARL,No fear . What is it you want to tell me — tell me everything . I 'd like to learn some of the tricks of the trade . I may need them —,no fear . what be it you want to tell me — tell me everything . i 'd like to learn some of the trick of the trade . i may need them —,,"['no', 'fear', '.', 'what', 'be', 'it', 'you', 'want', 'to', 'tell', 'me', '—', 'tell', 'me', 'everything', '.', 'i', ""'d"", 'like', 'to', 'learn', 'some', 'of', 'the', 'trick', 'of', 'the', 'trade', '.', 'i', 'may', 'need', 'them', '—']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'fear', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'anger', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,enthusiasm,enthusiasm,0.469,"[('No', 'no', None), ('fear', 'fear', None), ('.', '.', None), ('What', 'what', None), ('is', 'be', None), ('it', 'it', None), ('you', 'you', None), ('want', 'want', Synset('desire.v.01')), ('to', 'to', None), ('tell', 'tell', Synset('tell.v.02')), ('me', 'me', None), ('—', '—', None), ('tell', 'tell', Synset('tell.v.02')), ('me', 'me', None), ('everything', 'everything', None), ('.', '.', None), ('I', 'i', None), (""'d"", ""'d"", None), ('like', 'like', Synset('like.v.03')), ('to', 'to', None), ('learn', 'learn', Synset('learn.v.04')), ('some', 'some', None), ('of', 'of', None), ('the', 'the', None), ('tricks', 'trick', None), ('of', 'of', None), ('the', 'the', None), ('trade', 'trade', None), ('.', '.', None), ('I', 'i', None), ('may', 'may', None), ('need', 'need', Synset('need.v.03')), ('them', 'them', None), ('—', '—', None)]"
695,KARL,", ironically You look it . What did you want to tell me about her ?",", ironically you look it . what do you want to tell me about her ?",,"[',', 'ironically', 'you', 'look', 'it', '.', 'what', 'do', 'you', 'want', 'to', 'tell', 'me', 'about', 'her', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'sadness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,enthusiasm,,0.147,"[(',', ',', None), ('ironically', 'ironically', None), ('You', 'you', None), ('look', 'look', Synset('look.v.01')), ('it', 'it', None), ('.', '.', None), ('What', 'what', None), ('did', 'do', None), ('you', 'you', None), ('want', 'want', Synset('desire.v.01')), ('to', 'to', None), ('tell', 'tell', Synset('state.v.01')), ('me', 'me', None), ('about', 'about', None), ('her', 'her', None), ('?', '?', None)]"
697,KARL,About Olga .,about olga .,,"['about', 'olga', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,,0.001,"[('About', 'about', None), ('Olga', 'olga', None), ('.', '.', None)]"
699,KARL,"Look here , I do n't mind telling you her husband is ?","look here , i do n't mind tell you her husband be ?",,"['look', 'here', ',', 'i', 'do', ""n't"", 'mind', 'tell', 'you', 'her', 'husband', 'be', '?']","[{'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,enthusiasm,acceptance,0.122,"[('Look', 'look', None), ('here', 'here', None), (',', ',', None), ('I', 'i', None), ('do', 'do', None), (""n't"", ""n't"", None), ('mind', 'mind', Synset('mind.v.06')), ('telling', 'tell', Synset('tell.v.02')), ('you', 'you', None), ('her', 'her', None), ('husband', 'husband', None), ('is', 'be', None), ('?', '?', None)]"
701,KARL,", concealing his pain very badly And to think — and this afternoon — at my house — was the first time —",", conceal hi pain very badly and to think — and this afternoon — at my house — be the first time —",,"[',', 'conceal', 'hi', 'pain', 'very', 'badly', 'and', 'to', 'think', '—', 'and', 'this', 'afternoon', '—', 'at', 'my', 'house', '—', 'be', 'the', 'first', 'time', '—']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'bliss', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,grief,,0.151,"[(',', ',', None), ('concealing', 'conceal', Synset('hide.v.01')), ('his', 'hi', None), ('pain', 'pain', None), ('very', 'very', None), ('badly', 'badly', None), ('And', 'and', None), ('to', 'to', None), ('think', 'think', Synset('think.v.03')), ('—', '—', None), ('and', 'and', None), ('this', 'this', None), ('afternoon', 'afternoon', None), ('—', '—', None), ('at', 'at', None), ('my', 'my', None), ('house', 'house', None), ('—', '—', None), ('was', 'be', None), ('the', 'the', None), ('first', 'first', None), ('time', 'time', None), ('—', '—', None)]"
704,KARL,", startled What do you mean ?",", startle what do you mean ?",,"[',', 'startle', 'what', 'do', 'you', 'mean', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'bliss'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,ecstasy,bliss,0.032,"[(',', ',', None), ('startled', 'startle', Synset('startle.v.02')), ('What', 'what', None), ('do', 'do', None), ('you', 'you', None), ('mean', 'mean', Synset('mean.v.05')), ('?', '?', None)]"
706,KARL,", impatient Yes , go on .",", impatient yes , go on .",,"[',', 'impatient', 'yes', ',', 'go', 'on', '.']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'calmness'}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,,0.461,"[(',', ',', None), ('impatient', 'impatient', None), ('Yes', 'yes', None), (',', ',', None), ('go', 'go', Synset('travel.v.01')), ('on', 'on', None), ('.', '.', None)]"
708,KARL,", not quite grasping it An opera cloak ?",", not quite grasp it an opera cloak ?",,"[',', 'not', 'quite', 'grasp', 'it', 'an', 'opera', 'cloak', '?']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': None}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': None, 'secondary_emotion': None}]",2,,terror,0.014,"[(',', ',', None), ('not', 'not', None), ('quite', 'quite', None), ('grasping', 'grasp', Synset('grok.v.01')), ('it', 'it', None), ('An', 'an', None), ('opera', 'opera', None), ('cloak', 'cloak', None), ('?', '?', None)]"
710,KARL,You mean to tell me — she —,you mean to tell me — she —,,"['you', 'mean', 'to', 'tell', 'me', '—', 'she', '—']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,enthusiasm,,0.045,"[('You', 'you', None), ('mean', 'mean', Synset('mean.v.01')), ('to', 'to', None), ('tell', 'tell', Synset('tell.v.02')), ('me', 'me', None), ('—', '—', None), ('she', 'she', None), ('—', '—', None)]"
712,KARL,You liar !,you liar !,,"['you', 'liar', '!']","[{'primary_emotion': None, 'secondary_emotion': None}, {'primary_emotion': 'loathing', 'secondary_emotion': None}, {'primary_emotion': None, 'secondary_emotion': None}]",2,loathing,,0.002,"[('You', 'you', None), ('liar', 'liar', None), ('!', '!', None)]"
